2020.Buluka_De_Saeger,!,1804.Dasylagon_Muesebeck,deduced
2020.Buluka_De_Saeger,!,1804.Diologaster_Ashmead,deduced
2020.Buluka_De_Saeger,!,1804.Glyptapanteles_Ashmead,deduced
2020.Buluka_De_Saeger,<,1804.Microgastrine,deduced
2020.Buluka_De_Saeger,!,1804.Microplitis_Forster,deduced
2020.Buluka_De_Saeger,!,1804.Parapanteles_Ashmead,deduced
2020.Buluka_De_Saeger,!,1804.Promicrogaster_Brues_and_Richardson,deduced
2020.Buluka_De_Saeger,!,1804.Protomicroplitis_Ashmead,deduced
2020.Buluka_De_Saeger,!,1804.Pseudapanteles_Ashmead,deduced
2020.Buluka_De_Saeger,!,1804.Snellenius_Westwood,deduced
2020.Buluka_De_Saeger,!,1804.Xanthomicrogaster_Cameron,deduced
2020.Dasylagon_Muesebeck,!,1804.Buluka_De_Saeger,deduced
2020.Dasylagon_Muesebeck,!,1804.Diologaster_Ashmead,deduced
2020.Dasylagon_Muesebeck,!,1804.Glyptapanteles_Ashmead,deduced
2020.Dasylagon_Muesebeck,<,1804.Microgastrine,deduced
2020.Dasylagon_Muesebeck,!,1804.Microplitis_Forster,deduced
2020.Dasylagon_Muesebeck,!,1804.Parapanteles_Ashmead,deduced
2020.Dasylagon_Muesebeck,!,1804.Promicrogaster_Brues_and_Richardson,deduced
2020.Dasylagon_Muesebeck,!,1804.Protomicroplitis_Ashmead,deduced
2020.Dasylagon_Muesebeck,!,1804.Pseudapanteles_Ashmead,deduced
2020.Dasylagon_Muesebeck,!,1804.Snellenius_Westwood,deduced
2020.Dasylagon_Muesebeck,!,1804.Xanthomicrogaster_Cameron,deduced
2020.Diologaster_Ashmead,!,1804.Buluka_De_Saeger,deduced
2020.Diologaster_Ashmead,!,1804.Dasylagon_Muesebeck,deduced
2020.Diologaster_Ashmead,!,1804.Glyptapanteles_Ashmead,deduced
2020.Diologaster_Ashmead,<,1804.Microgastrine,deduced
2020.Diologaster_Ashmead,!,1804.Microplitis_Forster,deduced
2020.Diologaster_Ashmead,!,1804.Parapanteles_Ashmead,deduced
2020.Diologaster_Ashmead,!,1804.Promicrogaster_Brues_and_Richardson,deduced
2020.Diologaster_Ashmead,!,1804.Protomicroplitis_Ashmead,deduced
2020.Diologaster_Ashmead,!,1804.Pseudapanteles_Ashmead,deduced
2020.Diologaster_Ashmead,!,1804.Snellenius_Westwood,deduced
2020.Diologaster_Ashmead,!,1804.Xanthomicrogaster_Cameron,deduced
2020.Glyptapanteles_Ashmead,!,1804.Buluka_De_Saeger,deduced
2020.Glyptapanteles_Ashmead,!,1804.Dasylagon_Muesebeck,deduced
2020.Glyptapanteles_Ashmead,!,1804.Diologaster_Ashmead,deduced
2020.Glyptapanteles_Ashmead,<,1804.Microgastrine,deduced
2020.Glyptapanteles_Ashmead,!,1804.Microplitis_Forster,deduced
2020.Glyptapanteles_Ashmead,!,1804.Parapanteles_Ashmead,deduced
2020.Glyptapanteles_Ashmead,!,1804.Promicrogaster_Brues_and_Richardson,deduced
2020.Glyptapanteles_Ashmead,!,1804.Protomicroplitis_Ashmead,deduced
